0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;%dCFAThpig;StaDCP;AppDCP;DC(S+S);DCNFEh;CP;SumAA;SumFA;%FAinCFATfraction
5037.6021;Grass_clover, silage, Red clover;;;;;;;3.4;1.3;0.8;3.4;1.1;3.7;2.8;4.3;1.6;6.3;2.1;4.9;5.9;7.8;7.5;4.3;5.2;3.2;;;;;;;;;;;;;66.0;;;;66.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.5;;
5010.140;Grass silage, a) clay soil, before 21 June;;;;;;;3.4;1.3;0.8;3.4;1.1;3.7;2.8;4.3;1.6;6.3;2.1;4.9;5.9;7.8;7.5;4.3;5.2;3.2;;;;;;;;;;;;;70.0;;;;79.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.0;;;;;;;;;;;;;69.5;;
4004.647;Sugarbeet leaves with tops, fresh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79.0;38.0;67.0;87.0;82.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4001.525;Potato peelings, ensiled;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0;69.0;74.0;93.0;85.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3006.437;Fat_oil, Linseed oil;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.1;7.0;0.1;4.0;18.1;16.1;54.4;0.1;;;95.0;;;95.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92.0;;;;;;;;;;;;92.0;;;;;;;;;;;;;;;;;;;;92.0;;;;;;;;;;;;;;;;;;;;;;95.0;;;;;95.0;;;;;;95.0;;;;;;;100.0;95.0
6006.000;Cucumber, fresh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.0;40.0;70.0;90.0;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3012.616;Soya beans, heat treated;;;;;;;6.2;1.4;1.5;3.9;1.3;4.6;7.4;5.1;2.7;7.7;3.7;4.8;4.4;11.6;18.1;4.3;5.1;5.2;;;;0.2;11.0;0.2;4.0;22.0;54.0;8.0;0.4;;90.0;96.0;80.0;82.0;88.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.0;;74.0;93.0;87.0;;100.0;;;;;;;;;;;;;;;;;;;85.0;87.0;80.0;80.0;86.0;83.0;90.0;83.0;86.0;82.0;85.0;81.0;82.0;83.0;87.0;85.0;84.0;83.0;;87.0;81.0;;;;;;;;;;;85.0;84.0;48.0;;;;;;;;;41.0;;;;;;;;;;84.0;;85.0;84.0;68.0;77.0;75.0;83.0;87.0;84.0;84.0;83.0;81.0;82.0;81.0;81.0;84.0;77.0;83.0;81.0;;85.0;90.0;40.0;90.0;;89.0;85.0;;;;;86.0;85.0;55.0;51.0;79.0;24.0;84.0;99.0;99.8;95.0
5037.6022;Grass_clover, silage, White clover;;;;;;;3.4;1.3;0.8;3.4;1.1;3.7;2.8;4.3;1.6;6.3;2.1;4.9;5.9;7.8;7.5;4.3;5.2;3.2;;;;;;;;;;;;;69.0;;;;72.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.5;;
5008.6021;Maize silage, DM 300 - 340 g_kg;;;;;;;2.4;1.5;1.4;3.2;0.4;3.3;2.0;3.8;1.7;8.8;2.2;4.5;7.7;6.1;12.2;3.9;6.5;3.8;;;;;;;;;;;;;45.0;;;;74.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68.0;72.0;;;;;;;;;;;;75.5;;
2013.4011;Groundnut expeller, dehulled, CF less than 75 g_kg;;;;;;;3.3;1.2;1.4;2.6;1.0;3.3;10.9;4.9;2.3;6.3;3.7;4.0;3.9;11.3;18.5;5.5;4.3;4.7;;;;;10.0;1.0;3.0;47.5;30.0;1.0;7.0;;91.0;97.0;53.0;84.0;87.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.0;;56.0;92.0;85.0;;100.0;;;;;;;;;;;;;;;;;;;86.0;93.0;87.0;88.0;87.0;92.0;96.0;94.0;89.0;92.0;93.0;91.0;90.0;93.0;93.0;85.0;90.0;91.0;;82.0;92.0;;;;;;;;;;;85.0;87.0;46.0;;;;;;;;;38.0;;;;;;;;;;87.0;;82.0;90.0;76.0;81.0;88.0;89.0;90.0;92.0;84.0;88.0;91.0;89.0;87.0;88.0;90.0;77.0;86.0;85.0;;82.0;79.0;20.0;83.0;;92.0;87.0;;;;;70.0;85.0;25.0;21.0;45.0;29.0;82.0;93.1;99.5;75.0
